date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2020/1/22,World,0.0,0.0,557.0,17.0,,,,
2020/1/23,World,98.0,1.0,655.0,18.0,,,,
2020/1/24,World,286.0,8.0,941.0,26.0,,,,
2020/1/25,World,492.0,16.0,1433.0,42.0,,,,
2020/1/26,World,685.0,14.0,2118.0,56.0,,,,
2020/1/27,World,809.0,26.0,2927.0,82.0,,,,
2020/1/28,World,2651.0,49.0,5578.0,131.0,5021.0,114.0,,
2020/1/29,World,589.0,2.0,6167.0,133.0,5610.0,116.0,,
2020/1/30,World,2068.0,38.0,8235.0,171.0,7580.0,153.0,,
2020/1/31,World,1692.0,42.0,9927.0,213.0,8986.0,187.0,,
2020/2/1,World,2111.0,46.0,12038.0,259.0,10605.0,217.0,,
2020/2/2,World,4749.0,103.0,16787.0,362.0,14669.0,306.0,,
2020/2/3,World,3100.0,64.0,19887.0,426.0,16960.0,344.0,,
2020/2/4,World,4011.0,66.0,23898.0,492.0,18320.0,361.0,23341.0,475.0
2020/2/5,World,3745.0,72.0,27643.0,564.0,21476.0,431.0,27086.0,547.0
2020/2/6,World,3160.0,70.0,30803.0,634.0,22568.0,463.0,30148.0,616.0
2020/2/7,World,3593.0,85.0,34396.0,719.0,24469.0,506.0,33455.0,693.0
2020/2/8,World,2734.0,87.0,37130.0,806.0,25092.0,547.0,35697.0,764.0
2020/2/9,World,3030.0,100.0,40160.0,906.0,23373.0,544.0,38042.0,850.0
2020/2/10,World,2609.0,107.0,42769.0,1013.0,22882.0,587.0,39842.0,931.0
2020/2/11,World,2042.0,100.0,44811.0,1113.0,20913.0,621.0,39233.0,982.0
2020/2/12,World,418.0,5.0,45229.0,1118.0,17586.0,554.0,39062.0,985.0
2020/2/13,World,15153.0,253.0,60382.0,1371.0,29579.0,737.0,52147.0,1200.0
2020/2/14,World,6527.0,152.0,66909.0,1523.0,32513.0,804.0,56982.0,1310.0
2020/2/15,World,2143.0,143.0,69052.0,1666.0,31922.0,860.0,57014.0,1407.0
2020/2/16,World,2183.0,104.0,71235.0,1770.0,31075.0,864.0,54448.0,1408.0
2020/2/17,World,2035.0,98.0,73270.0,1868.0,30501.0,855.0,53383.0,1442.0
2020/2/18,World,1882.0,140.0,75152.0,2008.0,30341.0,895.0,51254.0,1516.0
2020/2/19,World,500.0,115.0,75652.0,2123.0,30423.0,1005.0,48009.0,1559.0
2020/2/20,World,560.0,125.0,76212.0,2248.0,15830.0,877.0,45409.0,1614.0
2020/2/21,World,629.0,4.0,76841.0,2252.0,9932.0,729.0,42445.0,1533.0
2020/2/22,World,1761.0,207.0,78602.0,2459.0,9550.0,793.0,41472.0,1653.0
2020/2/23,World,380.0,11.0,78982.0,2470.0,7747.0,700.0,38822.0,1564.0
2020/2/24,World,564.0,160.0,79546.0,2630.0,6276.0,762.0,36777.0,1617.0
2020/2/25,World,854.0,80.0,80400.0,2710.0,5248.0,702.0,35589.0,1597.0
2020/2/26,World,977.0,61.0,81377.0,2771.0,5725.0,648.0,36148.0,1653.0
2020/2/27,World,1360.0,43.0,82737.0,2814.0,6525.0,566.0,22355.0,1443.0
2020/2/28,World,1386.0,59.0,84123.0,2873.0,7282.0,621.0,17214.0,1350.0
2020/2/29,World,1891.0,69.0,86014.0,2942.0,7412.0,483.0,16962.0,1276.0
2020/3/1,World,2382.0,54.0,88396.0,2996.0,9414.0,526.0,17161.0,1226.0
2020/3/2,World,1986.0,89.0,90382.0,3085.0,10836.0,455.0,17112.0,1217.0
2020/3/3,World,2596.0,75.0,92978.0,3160.0,12578.0,450.0,17826.0,1152.0
2020/3/4,World,2310.0,95.0,95288.0,3255.0,13911.0,484.0,19636.0,1132.0
